model,crps_11,mean_pinball_11q,mae_q50,cov90,width90,winkler90,cov_neg,cov_gt150,cov_gt200,raw_crossing_rate
three_way_qw_reg,5.138150370548819,2.56641129520591,7.2561515526116676,0.8996460783194429,32.84094873352595,44.13448589932482,0.8120805369127517,0.7886178861788617,0.6538461538461539,0.021121132549377784
three_way_qw,5.138275927334293,2.566490366889851,7.2562628500036315,0.8996460783194429,32.844796389066886,44.14065661792343,0.8120805369127517,0.7886178861788617,0.6538461538461539,0.021235300833428474
two_way,5.2340945414982265,2.610198926081627,7.4538867487133,0.8926818129923507,32.80171140233051,44.11712998206938,0.8120805369127517,0.7886178861788617,0.6538461538461539,0.02865623929672337
LSTM,5.585343197997382,2.8030741647539017,7.885354350703581,0.8949651786733646,32.49287396629771,51.18416021508562,0.87248322147651,0.5121951219512195,0.11538461538461539,0.0
QRF,5.8473629716577245,2.9091047916947765,8.376863226395708,0.9173421623472999,36.624678102523106,47.776902100696425,0.697986577181208,0.7642276422764228,0.7115384615384616,0.0
LEAR-QRA,6.521998187112922,3.3239406531961952,8.715079648101622,0.8929101495604521,37.3640227964284,71.23475579041042,0.47651006711409394,0.2764227642276423,0.057692307692307696,0.0
